Ano;Já foi atendido pelo CRAI?;Tipo de Atendimento;País de origem;Distrito de residência;Como ficou sabendo do serviço?;Escolaridade;Raça/Cor/Etnia declarada;Profissão;Relação de trabalho;Condição de moradia;Identidade de gênero;Orientação sexual;Idioma materno;Situação migratória atual;Foi vítima de violência?;Identifique o tipo de violação;Demanda do atendimento ;Total
2020;Primeiro Atendimento;Email;OUTRO;Outro município ou recém-chegado;Não informado;Não Declarado;Branca;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Inglês;Outra;Sim;Não informado;Não informado;1
2020;Primeiro Atendimento;Não informado;OUTRO;Artur Alvim;Não informado;Médio Incompleto;Preta;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Português;Indocumentado / Irregular;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Não informado;OUTRO;Bela Vista;Não informado;Superior Completo;Parda;Guia Turística;Desempregada(o);Alugado;Mulher Cisgênero;Heterossexual;Espanhol;Indocumentado / Irregular;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Não informado;OUTRO;Bela Vista;Não informado;Superior Completo;Parda;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Espanhol;Indocumentado / Irregular;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Não informado;OUTRO;Bom Retiro;Amigos/Parentes;Superior Completo;Branca;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Espanhol;Autorização de residência por prazo indeterminado;Não informado;Não informado;Defesa em caso de violação de direitos;1
2020;Primeiro Atendimento;Não informado;OUTRO;Brás;Não informado;Superior Incompleto;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Francês;Refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Não informado;OUTRO;Cambuci;Não informado;Médio Completo;Branca;Não informado;Não informado;Próprio;Outras identidades;Não informado;Árabe;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Não informado;OUTRO;Cambuci;Não informado;Superior Completo;Branca;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Indocumentado / Irregular;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Não informado;OUTRO;Cambuci;Não informado;Superior Completo;Branca;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Visto;Não informado;Não informado;Acesso a serviços públicos;1
2020;Primeiro Atendimento;Não informado;OUTRO;Ipiranga;Não informado;Médio Completo;Preta;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Português;Autorização de residência por prazo indeterminado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Não informado;OUTRO;Itaquera;Não informado;Médio Completo;Preta;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Português;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Não informado;OUTRO;Pari;Não informado;Ensino Técnico Completo;Preta;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Homem Cisgênero;Não informado;Francês;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Não informado;OUTRO;Penha;Não informado;Médio Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Português;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Não informado;OUTRO;República;Não informado;Médio Completo;Parda;Não informado;Não informado;Cedido;Mulher Cisgênero;Não informado;Espanhol;Indocumentado / Irregular;Não informado;Não informado;Orientações diversas;1
2020;Primeiro Atendimento;Não informado;OUTRO;República;Não informado;Médio Completo;Parda;Não informado;Não informado;Ocupação;Mulher Cisgênero;Não informado;Espanhol;Outra;Não;Não informado;Defesa em caso de violação de direitos;1
2020;Primeiro Atendimento;Não informado;OUTRO;Santana;Não informado;Superior Completo;Parda;PROFESSOR;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Residente fronteiriço;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Artur Alvim;Não informado;Superior Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Francês;Solicitante de reconhecimento da condição de refugiado;Não;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Bela Vista;Não informado;Médio Completo;Parda;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Espanhol;Autorização de residência temporária;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Brás;Não informado;Superior Incompleto;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Português;Autorização de residência por prazo indeterminado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Cambuci;Não informado;Não Alfabetizada(o);Branca;Não informado;Não informado;Cedido;Mulher Cisgênero;Não informado;Árabe;Refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Cangaíba;Não informado;Médio Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Português;Autorização de residência por prazo indeterminado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Ipiranga;Não informado;Superior Completo;Branca;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Itaquera;Não informado;Fundamental Incompleto;Parda;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Autorização de residência por prazo indeterminado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Itaquera;Não informado;Médio Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Francês;Autorização de residência por prazo indeterminado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Liberdade;Não informado;Médio Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Crioulo Haitiano;Autorização de residência por prazo indeterminado;Não informado;Não informado;Acesso a programas de cidadania;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Mooca;Não informado;Fundamental Completo;Branca;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Mulher Cisgênero;Não informado;Espanhol;Autorização de residência por prazo indeterminado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Mooca;Não informado;Fundamental Completo;Preta;Não informado;Não informado;Alugado;Homem Cisgênero;Não informado;Francês;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Regularização migratória;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Outro município ou recém-chegado;Amigos/Parentes;Superior Incompleto;Prefere não declarar;Não informado;Não informado;Alugado;Mulher Cisgênero;Não informado;Espanhol;Outra;Não informado;Não informado;Acolhimento para situações de vulnerabilidade e risco;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Outro município ou recém-chegado;Não informado;Não Declarado;Indígena;Não informado;Não informado;Situação de rua;Não declarada;Não informado;Espanhol;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Acesso a serviços públicos;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Outro município ou recém-chegado;Não informado;Não Declarado;Preta;Não informado;Não informado;Acolhido em Abrigos / Unidades de reclusão;Não declarada;Não informado;Crioulo Haitiano;Solicitante de reconhecimento da condição de refugiado;Não informado;Não informado;Acesso a programas de cidadania;1
2020;Primeiro Atendimento;Por telefone;OUTRO;Pari;Outros serviços públicos;Não Declarado;Indígena;Não informado;Não informado;Alugado;Não declarada;Não informado;Espanhol;Indocumentado / Irregular;Não informado;Não informado;Acesso a serviços públicos;1
2020;Primeiro Atendimento;Por telefone;OUTRO;São Miguel;Outros serviços públicos;Não Declarado;não declarado;Não informado;Não informado;Alugado;Não declarada;Não informado;Espanhol;Indocumentado / Irregular;Não informado;Não informado;Acesso a serviços públicos;1
